nameCONF,OntologyCONF,nameCONAF,OntologyCONAF,nameFAb,OntologyFAb
FA 14:0;O,FA,NAE 13:0,NAE,FA 14:0;O,FA
FA 14:1;O2,FA,NAE 16:1,NAE,FA 14:1;O2,FA
NAE 13:0,NAE,SPB 18:0;O2,DHSph,FA 16:1;O2,FA
FA 17:1,FA,FA 20:4;O,FA,NAE 16:1,NAE
NAE 14:0,NAE,NAE 18:4,NAE,NAGly 17:3,NAGly
FA 18:4,FA,FA 20:3;O,FA,FA 22:3;O,FA
FA 18:3,FA,NAGly 17:3,NAGly,NAE 22:4,NAE
SPB 18:0;O2,DHSph,NAE 18:3,NAE,CAR 15:0,CAR
NAGly 17:3,NAGly,FA 20:2;O,FA,CAR 18:3,CAR
NAE 18:3,NAE,SPB 20:1;O2,Sph,LPC 14:0/0:0,LPC
NAE 18:2,NAE,NAE 19:0,NAE,LPC 15:0/0:0,LPC
NAE 18:0,NAE,CAR 14:0,CAR,LPC 16:0/0:0,LPC
NAE 20:5,NAE,CAR 15:0,CAR,LPC 18:0,LPC
NAE 20:1,NAE,NATau 18:0,NATau,Cer 40:0;O2|Cer 18:0;O2/22:0,Cer
CAR 14:0,CAR,CAR 16:0,CAR,CE 16:1,CE
NAE 22:5,NAE,CAR 18:3,CAR,CE 18:3,CE
NAE 22:4,NAE,CAR 18:2,CAR,CE 18:1,CE
CAR 15:0,CAR,LPE O-16:2,LPE,DG 38:2,DG
NATau 18:0,NATau,CAR 19:0,CAR,CE 20:5,CE
CAR 16:0,CAR,CAR 20:3,CAR,CE 20:3,CE
CAR 18:2,CAR,LPC O-14:0,LPC,Cer 45:1;O2|Cer 20:1;O2/25:0,Cer
CAR 18:1,CAR,LPC 14:0/0:0,LPC,SE 29:1/18:2,SISE
CAR 19:0,CAR,CAR 22:6,CAR,CE 20:2,CE
CAR 20:2,CAR,LPE 18:0,LPE,DG 40:4,DG
LPC O-14:0,LPC,LPC 15:0/0:0,LPC,Cer 46:6;O2|Cer 18:1;O2/28:5,Cer
DG 24:2,DG,LPC 16:3,LPC,CE 22:5,CE
CAR 22:1,CAR,LPC 16:0/0:0,LPC,CE 22:4,CE
LPC 17:0/0:0,LPC,DG 26:2,DG,SE 29:1/20:4,SISE
LPE 22:6,LPE,LPC 17:1/0:0,LPC,CE 22:3,CE
LPC 19:0/0:0,LPC,LPE 20:0,LPE,CE 22:2,CE
LPC 18:2,LPC,LPC 17:0/0:0,LPC,TG 41:1|TG 13:0_14:0_14:1,TG
LPC 20:2/0:0,LPC,LPG 18:0,LPG,TG 41:0|TG 12:0_14:0_15:0,TG
LPC 21:0/0:0,LPC,LPE 22:6,LPE,CE 24:5,CE
LPC 22:5,LPC,LPC 18:0,LPC,CE 24:4,CE
LPC 20:0,LPC,Cer 33:5;O2|Cer 18:1;O2/15:4,Cer,CE 24:3,CE
LPC 22:2/0:0,LPC,LPC 18:2,LPC,CE 24:2,CE
LPC 22:6,LPC,LPC 20:2/0:0,LPC,TG 43:1|TG 9:0_16:0_18:1,TG
LPC 22:1,LPC,LPC 21:0/0:0,LPC,TG 44:0|TG 14:0_14:0_16:0,TG
TG 36:0|TG 10:0_12:0_14:0,TG,LPC 22:5,LPC,TG 44:2|TG 14:0_14:1_16:1,TG
PEtOH 32:1|PEtOH 16:0_16:1,PEtOH,LPC 20:0,LPC,CE 26:4,CE
TG 38:0|TG 10:0_12:0_16:0,TG,LPC 22:2/0:0,LPC,TG 45:0|TG 14:0_15:0_16:0,TG
CE 20:3,CE,LPC 22:6,LPC,TG 46:0|TG 14:0_15:0_17:0,TG
Cer 46:6;O2|Cer 18:1;O2/28:5,Cer,LPC 22:1,LPC,TG 47:3|TG 15:1_16:1_16:1,TG
PEtOH 34:2|PEtOH 16:0_18:2,PEtOH,LPC 24:2/0:0,LPC,TG 47:2|TG 14:0_15:0_18:2,TG
TG 40:2|TG 10:0_12:0_18:2,TG,CE 16:1,CE,TG 47:0|TG 14:0_16:0_17:0,TG
TG 40:1|TG 10:0_12:0_18:1,TG,Cer 44:1;O2|Cer 20:1;O2/24:0,Cer,TG 48:0|TG 15:0_16:0_17:0,TG
TG 40:0|TG 10:0_14:0_16:0,TG,DG 38:2,DG,TG 49:3|TG 15:0_16:1_18:2,TG
SM 35:2;O2|SM 18:0;O2/17:2,SM,SM 32:2;O2|SM 18:2;O2/14:0,SM,TG 49:2|TG 16:0_16:1_17:1,TG
