pvalue,foldchange,class
0.23,1.3,CAR
0.025,1.2,CAR
0.017,1.7,CAR
0.27,0.79,CAR
0.053,16,CAR
0.18,2.7,CAR
0.037,1.2,CAR
0.8,1.1,CAR
0.26,3.6,CAR
0.0086,1.3,CAR
0.054,1.4,CAR
0.088,1.7,CAR
0.043,1.7,CAR
0.026,1.1,CAR
0.012,1.6,CAR
0.056,1.8,CAR
0.0035,3.2,CASE
0.036,1.5,CE
0.49,1.2,CE
0.1,1.1,CE
0.037,12,CE
0.011,1.4,CE
0.61,1.1,CE
0.00012,1.3,CE
0.009,1.2,CE
0.91,1,CE
0.077,4.8,CE
0.061,1.9,CE
0.96,0.99,Cer
0.14,0.68,Cer
0.036,1.3,Cer
0.8,1.1,Cer
0.00041,1.4,Cer
0.0081,1.5,Cer
0.075,1.4,Cer
0.013,1.2,Cer
0.063,1.3,Cer
0.18,1.4,Cer
0.014,1.9,Cer
0.00041,1.4,Cer
0.86,1,Cer
0.19,0.51,Cer
0.0043,1.6,Cer
0.015,2.8,Cer
0.011,1.7,Cer
0.15,1.1,Cer
0.0019,1.8,Cer
0.0001,1.5,Cer
0.085,1.8,Cer
0.073,1.6,Cer
0.0067,1.4,Cer
0.021,2,Cer
0.0055,2.1,CL
0.23,1.2,CL
0.025,2.1,DG
0.47,1.2,DG
0.67,1.1,DG
0.62,0.7,DG
0.14,1.2,DG
0.013,2.3,DG
0.36,0.14,DG
0.1,1.4,DG
0.36,1,DG
0.089,4.6,DG
0.082,1.5,DG
0.24,0.79,DG
0.89,0.98,DG
0.086,1.5,DG
0.11,1.2,DG
0.31,1.2,DG
0.00097,1.8,DG
0.056,0.98,DG
0.31,1.2,DG
0.028,1.3,DG
0.006,1.7,DG
0.0063,1.2,DG
0.048,1.4,DG
0.016,0.44,DG
0.19,1.3,FA
0.89,0.97,FA
0.055,1.6,FA
0.93,1,FA
0.0016,2.1,FA
0.048,1.3,FA
0.35,1.6,FA
0.07,1.9,FA
0.064,0.83,FA
0.58,0.83,FA
0.099,1.5,FA
0.007,1.9,FA
0.31,0.37,FA
0.13,1.3,FA
0.00085,2.5,FA
0.036,1.5,FA
0.19,1.1,FA
0.16,1.3,FA
0.052,4.2,FA
0.0037,1.6,FA
0.31,1.1,FA
0.018,1.3,FA
0.02,2.2,FA
0.18,1.4,FA
0.19,1.5,FA
0.031,1.8,FA
0.091,1.7,FA
0.82,0.92,FA
0.0066,2.6,FA
0.064,1.3,FA
0.3,4.4,FA
0.96,0.97,FA
0.0021,1.4,FA
0.0089,2.3,FA
0.01,2,FA
0.006,2.9,FA
0.87,0.98,FA
0.098,1.5,FA
0.53,1.1,FA
0.01,1.2,LPC
0.036,2.1,LPC
0.71,1,LPC
0.1,0.38,LPC
0.21,1.2,LPC
0.00059,1.5,LPC
0.000061,1.6,LPC
0.58,1.1,LPC
0.0056,2.5,LPC
0.35,1.2,LPC
0.94,1,LPC
0.0078,0.57,LPC
0.98,0.99,LPC
0.2,1.5,LPC
0.89,0.93,LPC
0.012,1.2,LPC
0.3,0.89,LPE
0.94,1,LPE
0.52,0.65,LPE
0.013,2.2,LPE
0.072,12,LPE
0.052,2.5,LPE
0.015,1.4,LPE
0.00011,2.8,LPE
0.15,0.49,LPE
0.61,1.1,LPE
0.018,1.6,LPE
0.035,1.4,LPE
0.018,1.8,LPE
0.17,4,LPE
0.088,2.2,LPE
0.16,1.6,LPE
0.13,1.6,LPE
0.37,0.83,LPE
0.016,2.1,LPE
0.0037,2.5,LPE
0.2,1.2,LPG
0.27,1.4,LPG
0.041,1.4,LPG
0.015,1.6,LPG
0.39,1.2,LPI
0.0054,1.3,LPI
0.051,4,LPI
0.069,1.1,LPI
0.46,0.9,LPS
0.14,1.1,LPS
0.19,2.4,LPS
0.64,1.1,MG
0.00046,2.1,NAE
0.13,1.6,NAE
0.0074,1.2,NAE
0.91,0.98,NAE
0.05,1.3,NAE
0.69,0.82,NAE
0.092,0.46,NAE
0.28,1,NAE
0.09,5.5,NAE
0.21,1.3,NAE
0.63,1.1,NAE
0.1,1.1,NAE
0.45,1.2,NAE
0.03,1.8,NAE
0.12,1.3,NAE
0.36,1.1,NAE
0.0000031,2.3,NAE
0.26,1.1,NAE
0.21,1.3,NAE
0.011,1.7,NAE
0.24,1.2,NATau
0.21,1.2,NATau
0.046,1.6,NATau
0.0098,1.3,PA
0.63,1.1,PA
0.73,1.1,PA
0.023,1.8,PA
0.0098,1.6,PC
0.66,1,PC
0.0059,1.2,PC
0.71,0.96,PC
0.056,1.5,PC
0.27,1.3,PC
0.32,1.3,PC
0.3,1.4,PC
0.18,1.4,PC
0.077,0.42,PC
0.4,1.1,PC
0.13,1.1,PC
0.6,1,PC
0.58,0.96,PC
0.082,1.1,PC
0.075,1.2,PC
0.072,1.2,PC
0.96,1,PC
0.00011,1.5,PE
0.34,1.1,PE
0.5,1.5,PE
0.18,1.4,PE
0.93,1,PE
0.14,1.2,PE
0.26,1.1,PE
0.75,0.96,PE
0.61,1.2,PE
0.0041,2.6,PE
0.032,2.6,PE
0.37,1.3,PE
0.74,0.96,PE
0.47,1.1,PE
0.14,1.1,PE
0.19,1.1,PE
0.0021,1.4,PE
0.054,1.2,PE
0.38,1.1,PE
0.056,1.2,PE
0.027,1.4,PE
0.0043,1.9,PE
0.0035,1.5,PE
0.003,1.9,PE
0.31,1.1,PE
0.077,1.4,PE
0.0037,2.2,PE
0.0043,2.1,PE
0.043,1.3,PE
0.29,1.2,PE
0.035,1.6,PE
0.0067,1.9,PE
0.0059,2.2,PE
0.084,1.7,PE
0.66,0.88,PE
0.95,1,PE
0.8,1,PE
0.33,1.3,PE
0.24,1.2,PE
0.55,1.4,PE
0.13,1.2,PE
0.015,1.5,PE
0.12,1.3,PE
0.00068,1.9,PE
0.021,1.3,PE
0.19,1.2,PE
0.0057,1.5,PE
0.05,1.4,PE
0.0077,0.52,PE
0.084,1.2,PE
0.092,1.5,PE
0.68,1.1,PE
0.21,1.2,PG
0.14,1.5,PG
0.14,1.1,PG
0.75,1,PG
0.76,0.98,PG
0.00083,1.3,PG
0.66,1.1,PG
0.0036,1.3,PG
0.0051,1.3,PG
0.035,1.3,PG
0.09,1.2,PG
0.022,1.2,PG
0.2,1.2,PG
0.0057,1.3,PG
0.027,1.5,PG
0.0066,1.2,PG
0.29,1.1,PG
0.095,1.3,PG
0.031,1.2,PG
0.31,0.91,PG
0.19,0.76,PG
0.7,1.1,PG
0.31,1.2,PG
0.02,1.1,PG
0.33,1.1,PG
0.71,0.97,PG
0.0062,1.3,PG
0.83,0.99,PG
0.053,1.2,PG
0.0057,1.3,PG
0.0056,1.3,PG
0.042,1.5,PG
0.0039,2,PG
0.078,1.6,PG
0.84,0.97,PG
0.66,1.1,PG
0.0012,2.6,PI
0.0016,1.7,PI
