name,class,VIP,ttest_p,utest_p,FC,fdr_adjust_ttest_p,bonferroni_adjust_utest_p,log2FoldChange,pvalue
L-Adrenaline,Benzenoids,1.045983187,0.000380079,0.0003108,2.646625196,0.009465908,0.384149184,1.404153901,0.000380079
Phenylacetaldehyde,Benzenoids,1.491648246,0.000970271,0.000621601,1.799876378,0.013944825,0.768298368,0.84789782,0.000970271
Bis(2-ethylhexyl) phthalate,Benzenoids,1.413436112,0.016641541,0.001243201,1.49727806,0.063426431,1,0.58234217,0.016641541
BMP 42:10|BMP 20:4_22:6,BMP,1.08534529,0.015754983,0.020512821,2.243408914,0.061236347,1,1.165692609,0.015754983
BMP 36:3|BMP 18:1_18:2,BMP,1.115582784,0.022718526,0.028904429,1.696475407,0.075001657,1,0.762540516,0.022718526
BMP 42:9|BMP 20:4_22:5,BMP,1.227055175,0.028410362,0.028904429,2.395222002,0.084819341,1,1.260159379,0.028410362
CAR 17:0,CAR,0.932125738,0.000687364,0.003729604,2.45827358,0.011178715,1,1.297645481,0.000687364
CAR 16:0,CAR,1.273839677,0.003450994,0.002175602,3.163284783,0.029655349,1,1.661423444,0.003450994
CAR 14:1,CAR,0.991103262,0.006879287,0.009324009,2.171634672,0.038825565,1,1.118781423,0.006879287
CAR 19:0,CAR,1.628374321,0.007644983,0.002085412,3.018722425,0.040978247,1,1.593938105,0.007644983
CAR 18:1,CAR,1.05679628,0.010766618,0.013986014,2.371565658,0.049470408,1,1.24583981,0.010766618
CAR 20:0,CAR,1.248810245,0.012884157,0.023525599,1.924068407,0.0542516,1,0.944160092,0.012884157
CAR 15:0,CAR,1.423845967,0.014281859,0.0003108,4.304901015,0.057499603,0.384149184,2.105980065,0.014281859
CAR 20:2,CAR,1.162729534,0.020853516,0.017268872,3.115451502,0.071796505,1,1.639441259,0.020853516
CAR 18:0,CAR,0.929886414,0.021067925,0.009324009,1.906725428,0.072132839,1,0.931097108,0.021067925
CAR 18:2,CAR,1.03253233,0.031846016,0.055977451,2.635186514,0.091326394,1,1.397905077,0.031846016
CAR 22:1,CAR,1.098116267,0.034694959,0.054079254,2.169170618,0.097020293,1,1.117143534,0.034694959
CAR 14:0,CAR,1.041828195,0.039909929,0.04009324,2.067757475,0.106772019,1,1.048066983,0.039909929
CE 20:5,CE,1.330575011,0.007658556,0.009324009,0.516055012,0.040978247,1,-0.954403227,0.007658556
CE 16:1,CE,1.148532032,0.033437988,0.028904429,0.52185701,0.094359253,1,-0.938273537,0.033437988
CE 20:3,CE,1.187982643,0.042411585,0.020512821,0.491404872,0.111014525,1,-1.025015934,0.042411585
