"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"C01401","(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform A (protein)","HMDB0062251","602","C01401","CC(N)C(O)=O","1"
"C00037","Glycine","HMDB0000123","750","C00037","C(C(=O)O)N","1"
"C11118","2-Pyrrolidinone","HMDB0002039","12025","C11118","C1CC(=O)NC1","1"
"C01089","(R)-3-Hydroxybutyric acid","HMDB0000011","92135","C01089","C[C@H](CC(=O)O)O","1"
"C01570","D-Leucine","HMDB0013773","117670482","C01570","C1=CC=C(C=C1)NC(=O)CC[C@@H](C(=O)ON)N=NN","1"
"C00601","Phenylacetaldehyde","HMDB0006236","998","C00601","C1=CC=C(C=C1)CC=O","1"
"C06418","NA","NA","NA","NA","NA","0"
"C00189","Ethanolamine","HMDB0000149","700","C00189","C(CO)N","1"
"C00116","Glycerol","HMDB0000131","753","C00116","C(C(CO)O)O","1"
"C00407","L-Isoleucine","HMDB0000172","6306","C00407","CC[C@H](C)[C@@H](C(=O)O)N","1"
"C02378","Aminocaproic acid","HMDB0001901","564","C02378","C(CCC(=O)O)CCN","1"
"C00122","Fumaric acid","HMDB0000134","444972","C00122","C(=C/C(=O)O)\C(=O)O","1"
"C01601","Pelargonic acid","HMDB0000847","8158","C01601","CCCCCCCCC(=O)O","1"
"C00408","Pipecolic acid","HMDB0000070","849","C00408","C1CCNC(C1)C(=O)O","1"
"C00178","Thymine","HMDB0000262","1135","C00178","CC1=CNC(=O)NC1=O","1"
"C00049","L-Aspartic acid","HMDB0000191","5960","C00049","C([C@@H](C(=O)O)N)C(=O)O","1"
"C11735","N-Ethylglycine","HMDB0041945","6992079","C11735","CCNCC(O)=O","1"
"C00099","Beta-Alanine","HMDB0000056","239","C00099","C(CN)C(=O)O","1"
"C05984","2-Hydroxybutyric acid","HMDB0000008","11266","C05984","CCC(C(=O)O)O","1"
"C01796","Erythrose","HMDB0002649","5460672","C01796","C1[C@H]([C@H](C(O1)O)O)O","1"
"C00263","L-Homoserine","HMDB0000719","12647","C00263","C(CO)[C@@H](C(=O)O)N","1"
"C00153","Niacinamide","HMDB0001406","936","C00153","C1=CC(=CN=C1)C(=O)N","1"
"C00503","Erythritol","HMDB0002994","222285","C00503","C([C@H]([C@H](CO)O)O)O","1"
"C00152","L-Asparagine","HMDB0000168","6267","C00152","C([C@@H](C(=O)O)N)C(=O)N","1"
"C16433","1-deoxy-1-(N6-lysino)-D-fructose","HMDB0062186","424","C16433","N[C@@H](CCCCNC[C@@]1(O)O[C@H](CO)[C@@H](O)[C@@H]1O)C(O)=O","1"
"C00073","L-Methionine","HMDB0000696","6137","C00073","CSCC[C@@H](C(=O)O)N","1"
"C00380","Cytosine","HMDB0000630","597","C00380","C1=C(NC(=O)N=C1)N","1"
