NO,INCHIKEY,Ontology,Platform,,,,,,,,,,,,
1,ZWHVMTQUUANYQJ-UHFFFAOYSA-N,NAE,Lipidomics,,,,,,,,,,,,
2,NURPOXDFZKXLRW-UHFFFAOYSA-N,NAE,Lipidomics,,,,,,,,,,,,
3,HVVJCLNYMSTOMR-UHFFFAOYSA-N,NAE,Lipidomics,,,,,,,,,,,,
4,QWJKOSGGYVUJBP-UHFFFAOYSA-N,NAE,Lipidomics,,,,,,,,,,,,
5,LMVSBYPDMNAXPF-UHFFFAOYSA-N,NAE,Lipidomics,,,,,,,,,,,,
7,QWYFHHGCZUCMBN-UHFFFAOYSA-N,CAR,Lipidomics,,,,,,,,,,,,
8,VYNPFWKAZJBFBM-UHFFFAOYSA-N,FA,Lipidomics,,,,,,,,,,,,
9,OVASNIDFAGGBHJ-UHFFFAOYSA-N,FA,Lipidomics,,,,,,,,,,,,
10,QZXSMBBFBXPQHI-UHFFFAOYSA-N,NAE,Lipidomics,,,,,,,,,,,,
11,IVTCJQZAGWTMBZ-UHFFFAOYSA-N,FA,Lipidomics,,,,,,,,,,,,
12,KBGYPXOSNDMZRV-UHFFFAOYSA-N,FA,Lipidomics,,,,,,,,,,,,
13,RVEKLXYYCHAMDF-UHFFFAOYSA-N,FA,Lipidomics,,,,,,,,,,,,
14,LBNLKCAZSLXCPB-UHFFFAOYSA-N,FA,Lipidomics,,,,,,,,,,,,
17,VWSHYVNVDMSXHS-UHFFFAOYSA-N,NAE,Lipidomics,,,,,,,,,,,,
18,IQMQCDUMEVIADX-UHFFFAOYSA-N,FA,Lipidomics,,,,,,,,,,,,
19,QIGYRHZXILJBGB-UHFFFAOYSA-N,NAE,Lipidomics,,,,,,,,,,,,
20,ILWORFSKQNWINV-UHFFFAOYSA-N,FA,Lipidomics,,,,,,,,,,,,
21,VJDWEEHZIYVLHJ-UHFFFAOYSA-N,FA,Lipidomics,,,,,,,,,,,,
22,UHMGSJDYHGEEEY-UHFFFAOYSA-N,FA,Lipidomics,,,,,,,,,,,,
23,QSBYPNXLFMSGKH-UHFFFAOYSA-N,FA,Lipidomics,,,,,,,,,,,,
24,DBPLZAFLPDHBAS-UHFFFAOYSA-N,FA,Lipidomics,,,,,,,,,,,,
26,MCFXKJXQXMJHJS-UHFFFAOYSA-N,NAE,Lipidomics,,,,,,,,,,,,
27,JGHSBPIZNUXPLA-UHFFFAOYSA-N,FA,Lipidomics,,,,,,,,,,,,
28,KMEKMXBMYZGGDT-UHFFFAOYSA-N,FA,Lipidomics,,,,,,,,,,,,
29,JHIXEZNTXMFXEK-UHFFFAOYSA-N,NAE,Lipidomics,,,,,,,,,,,,
30,JIWBIWFOSCKQMA-UHFFFAOYSA-N,FA,Lipidomics,,,,,,,,,,,,
31,JDAATGVJISVKAJ-UHFFFAOYSA-N,FA,Lipidomics,,,,,,,,,,,,
32,DTOSIQBPPRVQHS-UHFFFAOYSA-N,FA,Lipidomics,,,,,,,,,,,,
33,RRGVHYPZQAHGKF-UHFFFAOYSA-N,FA,Lipidomics,,,,,,,,,,,,
34,OYHQOLUKZRVURQ-UHFFFAOYSA-N,FA,Lipidomics,,,,,,,,,,,,
35,OAGIWTZPYCEKSR-UHFFFAOYSA-N,FA,Lipidomics,,,,,,,,,,,,
38,NBLMLNIZQBPVPD-UHFFFAOYSA-N,FA,Lipidomics,,,,,,,,,,,,
39,CXTATJFJDMJMIY-UHFFFAOYSA-N,CAR,Lipidomics,,,,,,,,,,,,
40,JZPSRJYCHQSSRG-UHFFFAOYSA-N,FA,Lipidomics,,,,,,,,,,,,
