name,Ontology,carbons,Unsaturations,VIP,ttest_p,utest_p,FC,fdr_adjust_ttest_p,bonferroni_adjust_utest_p,log2FoldChange,pvalue,logP
NAE 4:0,NAE,4,0,0.256932881,0.387381876,0.280963481,0.85815611,0.5082845,1,-0.220687978,0.387381876,0.411860702
NAE 5:0,NAE,5,0,0.369944119,0.445161179,0.612587413,0.813024473,0.564906794,1,-0.298629315,0.445161179,0.351482716
NAE 6:0,NAE,6,0,0.477270249,0.308382385,0.612587413,0.641095617,0.434123721,1,-0.64138855,0.308382385,0.510910438
NAE 9:0,NAE,9,0,0.929168939,0.142787218,0.072105672,1.209415088,0.245266663,1,0.274309482,0.142787218,0.845310667
NAE 10:0,NAE,10,0,0.171905721,0.909004983,0.396891997,0.982081188,0.938621687,1,-0.026085798,0.909004983,0.041433736
CAR 4:0,CAR,4,0,0.208462414,0.822268992,0.535819736,0.949423304,0.882992592,1,-0.074876633,0.822268992,0.084986087
FA 15:4,FA,15,4,0.861071724,0.174103777,0.04009324,0.597741061,0.286159932,1,-0.742407445,0.174103777,0.759191807
FA 14:0;O,FA,14,0,1.135066143,0.024354025,0.013986014,0.456623277,0.077983356,1,-1.130923689,0.024354025,1.613429247
NAE 12:0,NAE,12,0,0.889446095,0.116803535,0.120590521,1.305563221,0.211736318,1,0.384672321,0.116803535,0.932544014
FA 16:4,FA,16,4,0.193584046,0.480368236,0.189277389,0.53594561,0.593735139,1,-0.899841497,0.480368236,0.318425718
FA 16:3,FA,16,3,0.755336378,0.226756904,0.27116036,1.279534216,0.345119744,1,0.355618727,0.226756904,0.644439482
FA 16:2,FA,16,2,0.961788087,0.174867091,0.117883757,1.301899699,0.287032835,1,0.380618305,0.174867091,0.757291914
FA 15:2;O,FA,15,2,0.706077349,0.117954043,0.189277389,1.541870212,0.213457098,1,0.62468133,0.117954043,0.928287167
NAE 13:1,NAE,13,1,0.901913509,0.094484703,0.189277389,1.640578583,0.184165131,1,0.7142047,0.094484703,1.024638496
FA 14:1;O2,FA,14,1,1.011700879,0.018386306,0.04009324,0.492526517,0.067036796,1,-1.021726696,0.018386306,1.735505522
NAE 13:0,NAE,13,0,1.431332277,0.008570659,0.120590521,14.81085302,0.043397598,1,3.888582828,0.008570659,2.066985794
FA 17:4,FA,17,4,0.644940989,0.137762271,0.189277389,1.448478208,0.23914911,1,0.53453798,0.137762271,0.860869707
FA 16:4;O,FA,16,4,0.038929521,0.579639479,0.955089355,0.921660572,0.688192025,1,-0.11769256,0.579639479,0.236842043
FA 16:2;O,FA,16,2,0.203535648,0.361871772,0.396891997,0.853652182,0.483255063,1,-0.228279727,0.361871772,0.441445293
